customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,income_group,age_group,age_sort
22,59000.0,RENT,123.0,Personal,Grade C,35000.0,16.02,10,Y,3,DEFAULT,40k to 60k,18-25,1
21,9600.0,OWN,5.0,Education,Grade A,1000.0,11.14,1,N,2,NO DEFAULT,0 to 20k,18-25,1
25,9600.0,MORTGAGE,1.0,Medical,Grade B,5500.0,12.87,5,N,3,DEFAULT,0 to 20k,18-25,1
23,65500.0,RENT,4.0,Medical,Grade B,35000.0,15.23,10,N,2,DEFAULT,60k to 80k,18-25,1
24,54400.0,RENT,8.0,Medical,Grade B,35000.0,14.27,10,Y,4,DEFAULT,40k to 60k,18-25,1
21,9900.0,OWN,2.0,Venture,Grade A,2500.0,7.14,1,N,2,DEFAULT,0 to 20k,18-25,1
26,77100.0,RENT,8.0,Education,Grade A,35000.0,12.42,10,N,3,NO DEFAULT,60k to 80k,26-35,2
24,78956.0,RENT,5.0,Medical,Grade A,35000.0,11.11,10,N,4,NO DEFAULT,60k to 80k,18-25,1
24,83000.0,RENT,8.0,Personal,Grade A,35000.0,8.9,10,N,2,NO DEFAULT,80k plus,18-25,1
21,10000.0,OWN,6.0,Venture,Grade C,1600.0,14.74,1,N,3,DEFAULT,0 to 20k,18-25,1
22,85000.0,RENT,6.0,Venture,Grade A,35000.0,10.37,10,N,4,NO DEFAULT,80k plus,18-25,1
21,10000.0,OWN,2.0,Home Improvement,Grade A,4500.0,8.63,1,N,2,DEFAULT,0 to 20k,18-25,1
23,95000.0,RENT,2.0,Venture,Grade A,35000.0,7.9,10,N,2,NO DEFAULT,80k plus,18-25,1
26,108160.0,RENT,4.0,Education,Grade D,35000.0,18.39,10,N,4,DEFAULT,80k plus,26-35,2
23,115000.0,RENT,2.0,Education,Grade A,35000.0,7.9,10,N,4,NO DEFAULT,80k plus,18-25,1
23,500000.0,MORTGAGE,7.0,Debt Consolidation,Grade A,30000.0,10.65,10,N,3,NO DEFAULT,80k plus,18-25,1
23,120000.0,RENT,0.0,Education,Grade A,35000.0,7.9,10,N,4,NO DEFAULT,80k plus,18-25,1
